Location,Name,Address,Postcode,Contact,Contact Email,Website,Latitude,Longitude
Camborne,St Martin and St Meriadoc,Church Street,TR14 8AA,01209 712345,info@cambornechurch.org.uk,https://www.cambornechurch.org.uk,50.21345,-5.29789
Tuckingmill,All Saints,15 Tuckingmill Road,TR14 8AB,01209 723456,contact@allsaintstuckingmill.org.uk,https://www.allsaintstuckingmill.org.uk,50.21567,-5.29876
Penponds,Holy Trinity,5 Penponds Lane,TR14 8AC,01209 734567,info@holytrinitypenponds.org.uk,https://www.holytrinitypenponds.org.uk,50.22012,-5.30567
Crowan,St Crewenna,12 Crowan Road,TR14 8AD,01209 745678,contact@crowanchurch.org.uk,https://www.crowanchurch.org.uk,50.22567,-5.31012
Treslothan,St John,8 Treslothan Lane,TR14 8AE,01209 756789,info@treslothanchurch.org.uk,https://www.treslothanchurch.org.uk,50.23012,-5.31567
St Day,Holy Trinity Church,33 Church Street,TR16 5LD,01209 822862,unknown,https://www.fivesaints.org.uk/st-day,50.2375012,-5.183848072
Carharrack,St Piran,3 Carharrack Road,TR14 8AF,01209 767890,contact@stpiran.org.uk,https://www.fivesaints.org.uk/carharrack,50.23567,-5.32012
Gwennap,St Wenappa,7 Gwennap Lane,TR14 8AG,01209 778901,info@gwennapchurch.org.uk,https://www.gwennapchurch.org.uk,50.24012,-5.32567
Chacewater,St Paul,10 Chacewater Road,TR14 8AH,01209 789012,contact@stpaulchacewater.org.uk,https://www.fivesaints.org.uk/chacewater,50.24567,-5.33012
Stithians,St Stythians,14 Stithians Lane,TR14 8AI,01209 790123,info@stithianschurch.org.uk,https://www.fivesaints.org.uk/stithians,50.25012,-5.33567
St Andrews,St Andrews Church,Clinton Road,TR15 2LL,01209 216958,enquiries@redruthchurch.org.uk,https://redruthchurch.org.uk/st-andrews-redruth/,50.23179708,-5.225690835
Redruth,St Euny,20 Redruth Road,TR14 8AJ,01209 801234,contact@streunychurch.org.uk,https://www.redruthchurch.org.uk,50.25567,-5.34012
Pencoys,St Andrew,25 Pencoys Lane,TR14 8AK,01209 812345,info@standrewpencoys.org.uk,https://www.redruthchurch.org.uk/st-andrews-pencoys,50.26012,-5.34567
Lanner,Christ Church,30 Lanner Road,TR14 8AL,01209 823456,contact@christchurchlanner.org.uk,https://www.redruthchurch.org.uk/christchurch-lanner,50.26567,-5.35012
Treleigh,St Stephen,35 Treleigh Lane,TR14 8AM,01209 834567,info@ststephentreleigh.org.uk,https://www.treleighchurch.org.uk,50.27012,-5.35567
Illogan,St Illogan Parish Church,St Illogan Church Road  ,"TR16 4SR,",07727 352030,contact@stilloganchurch.org.uk,http://saint-illogan.org.uk/,"50.24995225224803,",-5.267790936
Trevenson,St Illogan,40 Trevenson Road,TR14 8AN,01209 845678,contact@stilloganchurch.org.uk,https://www.saint-illogan.org.uk/st-marys,50.27567,-5.36012
Portreath,St Marys,70 Portreath Lane,TR14 8AO,01209 901567,contact@stmarysportreath.org.uk,https://www.stmarysportreath.org.uk,50.22789,-5.31123
