Location,Name,Address,Postcode,Latitude,Longitude,Contact
Camborne,St Martins & Meriadoc's Church,TR14 7DF,50.21366877043699,-5.301824086944084,,
Tuckingmill,All Saints Church,TR14 8RQ,50.22018118627777,-5.28559548851654,,
Penponds,Holy Trinity Church,TR14 0QE,50.2069714041776,-5.315726981398124,,
Crowan,Crowan Church,TR14 9NB,50.1637994385378,-5.297747715781878,,
Treslothan,Treslothan Church,TR14 9LP,50.19979459265355,-5.296158532971124,,
St Day,Holy Trinity Church,33 Church St Redruth,TR16 5LD,50.2375012032268,-5.183848071600855,01209 822862,
Carharrack,St Pirans Mission Church,TR16 5RP,50.22932300343052,-5.181982517627701,,
Gwennap,St Wenappa Church,TR16 6BD,50.21784792863372,-5.170980531121604,,
Chacewater,St Pauls Church,TR4 8PZ,50.2538404644562,-5.1565885605074975,,
Stithians,St Stythians Church,TR3 7RN,50.19078249192517,-5.179857640256757,,
St Andrews,St Andrews Church,TR15 2LL,50.23179708057995,-5.2256908348185105,,
St Euny,St Euny Church,TR15 3BT,50.22613250475454,-5.238225500436913,,
Pencoys,St Andrews Church,TR16 6LT,50.19936321351329,-5.241719334819983,,
Lanner,Christ Church,TR16 6ER,50.21405614336509,-5.204804504135002,,
Treleigh,St Stephens Church,TR16 4AY,50.24735827059275,-5.221079258107016,,
Illogan,St Illogan Parish Church,TR16 4SR,50.24995225224803,-5.267790936114373,,
Trevenson,Trevenson Church (St Illogan),TR15 3PT,50.23090881484769,-5.273534963967737,,
Portreath,St Mary’s Church,TR16 4LW,50.26128781853588,-5.28668583111962,,
